,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,600438,通威股份,,,2.31,13.65,0.62,3307.05,,,02-11
1,600493,凤竹纺织,,,1.67,14.9,0.5,2550.67,,,02-06
2,600340,华夏幸福,,,2.01,15.08,0.58,1688.47,,,12-10
3,600476,湘邮科技,,,1.83,11.43,0.01,1347.94,,,11-20
4,600545,新疆城建,,,,,,2439.13,,,11-13
5,600058,五矿发展,,,3.82,,,19952.78,44.26,,10-31
6,600843,上工申贝,,,1.82,,,1462.99,69.98,,10-31
7,000839,中信国安,,,4.21,,,16128.7,4.01,,10-31
8,600613,神奇制药,,,1.0,,,-2048.82,-22.31,,10-31
9,600721,百花村,,,1.52,,,1955.89,547.89,,10-31
10,000568,泸州老窖,,,1.82,,,3676.18,7.88,,10-31
11,600063,皖维高新,,,2.6,,,2943.68,-8.13,,10-31
12,600503,华丽家族,,,4.16,,,-2989.66,-258.25,,10-31
13,000825,太钢不锈,,,2.94,,,41638.88,80.46,,10-31
14,600345,长江通信,,,4.58,,,373.51,-79.22,,10-31
15,600052,浙江广厦,,,3.07,,,-4469.37,-18966.7,,10-31
16,600139,西部资源,,,0.69,,,-2929.6,8.72,,10-31
17,600643,爱建集团,,,3.88,,,-2524.16,-72.29,,10-31
18,600681,百川能源,,,1.36,,,-3703.46,-1184.39,,10-31
19,600557,康缘药业,,,3.88,,,2361.24,19.66,,10-31
20,000818,方大化工,,,3.31,,,-2039.52,-84.55,,10-31
21,000876,新希望,,,3.98,9.07,,10885.07,21.72,,10-31
22,600239,云南城投,,,1.94,,,119.57,-91.41,,10-31
23,000999,华润三九,,,2.9,,,13305.77,8.99,,10-31
24,600770,综艺股份,,,2.21,,,1621.35,-25.97,,10-31
25,600401,*ST海润,,,4.41,,,1731.55,,,10-31
26,600811,东方集团,,,4.29,,,7059.84,-24.78,,10-31
27,000687,华讯方舟,,,3.3,,,4487.33,58.43,,10-31
28,600132,重庆啤酒,,,2.5,,,4587.67,35.96,,10-31
29,000036,华联控股,,,3.74,,,3298.47,-45.76,,10-31
30,000882,华联股份,,,1.91,,,-119.19,-112.93,,10-31
31,600617,国新能源,,,0.4,,,-4992.3,-14.34,,10-31
32,600741,华域汽车,,,2.16,,,3156.87,-74.83,,10-31
33,600776,东方通信,,,4.28,,,-76352.57,-14750.24,,10-31
34,000637,茂化实华,,,2.12,,,5587.0,23.39,,10-31
35,600800,天津磁卡,,,1.41,,,8095.14,170.9,,10-31
36,600870,厦华电子,,,1.97,,,823.56,-39.32,,10-31
37,600526,菲达环保,,,3.87,,,1496.7,-10.83,,10-31
38,600887,伊利股份,,,4.94,,,16491.45,45.56,,10-31
39,600272,开开实业,,,3.61,,,3899.61,8.73,,10-31
40,600781,辅仁药业,,,0.6,,,-2182.22,45.63,,10-31
41,600805,悦达投资,,,2.82,,,3436.08,829.22,,10-31
42,000739,普洛药业,,,2.0,,,1995.57,21.64,,10-31
43,000010,美丽生态,,,1.16,,,827.25,265.4,,10-31
44,600593,大连圣亚,,,3.4,,,-1279.21,-154.71,,10-31
45,000088,盐田港,,,4.36,,,55474.88,34.37,,10-31
46,000509,华塑控股,,,1.86,,,1115.15,-133.14,,10-31
47,000959,首钢股份,,,2.46,,,60776.21,4.26,,10-31
48,600335,国机汽车,,,2.43,,,48.49,-111.66,,10-31
49,600751,天海投资,,,2.19,,,314.89,-50.21,,10-31
50,600007,中国国贸,,,3.0,,,15893.1,2.43,,10-31
51,600061,国投安信,,,1.29,,,135.66,-66.73,,10-31
52,600864,哈投股份,,,2.94,,,479.28,-138.12,,10-31
53,000035,中国天楹,,,2.15,,,1874.06,-46.34,,10-31
54,600321,国栋建设,,,6.21,,,3361.41,-17.83,,10-31
55,000672,上峰水泥,,,1.41,,,-427.23,-202.64,,10-31
56,000732,泰禾集团,,,2.52,,,403.58,243.41,,10-31
57,000760,斯太尔,,,3.24,,,-366.51,-390.95,,10-31
58,600548,深高速,,,2.73,,,80136.77,184.64,,10-31
59,000809,*ST新城,,,0.4,,,-5848.61,84.22,,10-31
60,000010,美丽生态,,,1.16,,,827.25,265.4,,10-31
61,600593,大连圣亚,,,3.4,,,-1279.21,-154.71,,10-31
62,000088,盐田港,,,4.36,,,55474.88,34.37,,10-31
63,000509,华塑控股,,,1.86,,,1115.15,-133.14,,10-31
64,000959,首钢股份,,,2.46,,,60776.21,4.26,,10-31
65,600335,国机汽车,,,2.43,,,48.49,-111.66,,10-31
66,600751,天海投资,,,2.19,,,314.89,-50.21,,10-31
67,600007,中国国贸,,,3.0,,,15893.1,2.43,,10-31
68,600061,国投安信,,,1.29,,,135.66,-66.73,,10-31
69,600864,哈投股份,,,2.94,,,479.28,-138.12,,10-31
70,000035,中国天楹,,,2.15,,,1874.06,-46.34,,10-31
71,600321,国栋建设,,,6.21,,,3361.41,-17.83,,10-31
72,000672,上峰水泥,,,1.41,,,-427.23,-202.64,,10-31
73,000732,泰禾集团,,,2.52,,,403.58,243.41,,10-31
74,000760,斯太尔,,,3.24,,,-366.51,-390.95,,10-31
75,600548,深高速,,,2.73,,,80136.77,184.64,,10-31
76,000809,*ST新城,,,0.4,,,-5848.61,84.22,,10-31
77,600567,山鹰纸业,,,2.39,,,2999.34,47.59,,10-31
78,000022,深赤湾A,,,3.72,,,22909.62,68.91,,10-31
79,000829,天音控股,,,1.85,,,1967.74,-454.86,,10-31
80,000860,顺鑫农业,,,3.75,,,5998.5,14.15,,10-31
81,600196,复星医药,,,4.34,,,24752.54,154.72,,10-31
82,000540,中天金融,,,1.48,,,526.69,-31.52,,10-31
83,600328,兰太实业,,,2.99,,,1791.03,-44.96,,10-31
84,600393,粤泰股份,,,2.04,,,-4772.14,-353.73,,10-31
85,000738,航发控制,,,1.68,,,535.48,-171.65,,10-31
86,600891,秋林集团,,,1.54,,,-3123.15,18.42,,10-31
87,600183,生益科技,,,1.72,,,9926.3,53.53,,10-31
88,600628,新世界,,,2.8,,,4977.91,-23.66,,10-31
89,000997,新大陆,,,5.24,,,746.34,-56.61,,10-31
90,600315,上海家化,,,4.38,,,7751.48,3.12,,10-31
91,000685,中山公用,,,1.42,,,726.89,3.68,,10-31
92,600429,三元股份,,,1.48,,,4184.7,,,10-31
93,000707,双环科技,,,3.48,,,312.77,-90.86,,10-31
94,600060,海信电器,,,4.71,,,1980.37,-35.31,,10-31
95,000725,京东方A,,,3.83,,,28051.69,288.49,,10-31
96,600500,中化国际,,,3.12,,,17890.56,0.03,,10-31
97,600863,内蒙华电,,,2.09,,,29112.37,123.2,,10-31
98,600537,亿晶光电,,,2.86,,,2903.23,,,10-31
99,600560,金自天正,,,5.05,,,1980.93,17.8,,10-31
100,000034,神州数码,,,0.93,,,-2598.57,-54.91,,10-31
101,600170,上海建工,,,4.12,,,14435.16,0.41,,10-31
102,600673,东阳光科,,,1.53,,,948.81,183.35,,10-31
