,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002831,裕同科技,,,,,,9665.49,,,07-20
1,603799,华友钴业,,,,,,14149.01,,,07-20
2,300316,晶盛机电,2.12,,4.23,67.11,0.96,21233.97,,,04-20
3,603123,翠微股份,0.73,,3.62,29.34,1.23,10919.43,,,04-10
4,300313,天山生物,0.33,,1.66,20.19,0.48,2226.21,,,04-06
5,600977,中国电影,,,,,,46989.0,,,03-21
6,300343,联创互联,1.12,,3.73,35.39,0.75,3365.41,,,03-15
7,300346,南大光电,4.22,,6.87,88.75,3.04,15925.65,,,03-14
8,300306,远方信息,1.24,,3.48,42.19,0.97,5570.46,,,03-12
9,002665,首航节能,0.4,,4.28,10.02,-0.29,4041.05,,,03-07
10,300344,太空板业,0.56,,3.4,17.95,0.09,4213.04,,,03-06
11,300302,同有科技,0.59,,3.33,19.38,0.21,2645.41,,,03-02
12,300337,银邦股份,0.71,,4.39,17.6,0.08,9933.15,,,03-02
13,002701,奥瑞金,1.17,,4.13,32.36,0.32,27019.35,,,03-01
14,300299,富春股份,0.43,,2.44,19.33,-0.51,2150.0,,,02-29
15,300339,润和软件,0.48,,4.01,12.1,0.46,2751.48,,,02-23
16,002691,冀凯股份,0.18,,2.14,9.65,-0.19,2705.57,,,02-17
17,002690,美亚光电,0.6,,2.37,28.08,0.72,8947.97,,,02-15
18,300319,麦捷科技,0.56,,2.6,24.25,0.27,2252.93,,,02-10
19,603168,莎普爱思,1.08,,3.81,31.73,-0.12,5281.68,,,02-08
20,002682,龙洲股份,1.68,,4.43,37.66,1.8,16797.41,,,02-03
21,002685,华东重机,0.34,,1.69,22.09,0.39,5056.64,,,02-01
22,002699,美盛文化,0.68,,2.48,31.84,0.63,4725.51,,,02-01
23,300287,飞利信,0.34,,2.27,,-0.88,2136.93,,,01-31
24,002696,百洋股份,0.61,,4.39,14.42,0.23,3998.86,,,01-30
25,002653,海思科,0.57,,1.82,36.23,0.39,20131.72,,,01-16
26,300286,安科瑞,1.31,,5.3,,0.45,3405.71,,,01-12
27,300285,国瓷材料,0.69,,2.48,,,3233.57,,,01-12
28,300284,苏交科,0.55,,2.95,,-1.26,9851.08,,,01-09
29,300283,温州宏丰,1.29,,4.29,,-3.05,6852.34,,,01-09
30,002651,利君股份,1.14,,2.53,58.41,0.19,41094.65,,,01-05
31,002650,加加食品,0.63,,3.52,19.78,0.06,7604.74,,,01-05
32,002649,博彦科技,0.67,,4.6,,-0.01,5006.96,,,01-05
33,603333,明星电缆,0.36,,2.62,14.62,0.25,9292.82,,,12-31
34,300311,任子行,0.36,,2.32,16.76,0.34,1901.81,,,12-31
35,300314,戴维医疗,0.52,,2.36,24.67,0.35,3104.07,,,12-29
36,300279,和晶科技,0.61,,2.75,25.31,0.25,2749.45,,,12-28
37,300281,金明精机,0.86,,3.76,,-0.09,3883.43,,,12-28
38,300280,南通锻压,0.39,,2.96,,0.12,3698.15,,,12-28
39,002647,民盛金科,,,3.54,,2.2,7435.63,,,12-27
40,002648,卫星石化,3.38,,6.72,,1.04,50758.73,,,12-27
41,002646,青青稞酒,0.42,,1.58,30.61,0.4,16406.29,,,12-21
42,002644,佛慈制药,0.41,,5.8,,0.31,2467.37,,,12-21
43,002645,华宏科技,0.89,,3.96,,0.83,4465.79,,,12-19
