,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002736,国信证券,,,,,,175.96,,,04-20
1,600970,中材国际,,,2.53,24.12,1.68,5991.83,,,03-11
2,600503,华丽家族,,,2.2,,,-2666.39,-10.81,,12-22
3,601166,兴业银行,,,,,,222200.0,,,11-08
4,600877,*ST嘉陵,,,2.48,,,179.48,-58.55,,10-30
5,600149,*ST坊展,,,1.94,,,1187.59,-37.81,,10-30
6,600894,广日股份,,,1.8,,,18030.06,65.18,,10-30
7,600221,海航控股,,,1.7,,,12770.72,-113.44,,10-30
8,600721,百花村,,,1.62,,,105.98,-94.58,,10-30
9,600007,中国国贸,,,3.12,,,17172.7,8.05,,10-30
10,600883,博闻科技,,,1.35,,,953.98,110.18,,10-30
11,600567,山鹰纸业,,,2.79,,,3325.77,10.88,,10-30
12,600209,罗顿发展,,,1.73,,,319.18,-61.17,,10-30
13,000038,深大通,,,1.46,,,231.58,-46.68,,10-30
14,600638,新黄浦,,,3.9,,,4222.43,-12.28,,10-30
15,600359,新农开发,,,3.43,,,3839.06,112.61,,10-30
16,600759,洲际油气,,,-0.43,,,-43.98,-185.47,,10-30
17,600395,盘江股份,,,3.44,,,6020.94,-2.75,,10-30
18,000688,建新矿业,,,2.84,,,-1193.4,-214.75,,10-30
19,600985,雷鸣科化,,,3.25,,,997.71,,,10-30
20,600643,爱建集团,,,3.41,,,4079.86,-261.63,,10-30
21,600681,百川能源,,,-2.31,,,-616.98,-83.34,,10-30
22,600345,长江通信,,,4.66,,,1381.33,269.83,,10-30
23,000561,烽火电子,,,-1.55,,,1225.48,301.58,,10-30
24,600021,上海电力,,,3.94,,,35873.07,-24.63,,10-30
25,600053,九鼎投资,,,-0.59,,,16882.2,-422.1,,10-30
26,600479,千金药业,,,11.05,,,3422.24,,,10-30
27,600220,江苏阳光,,,2.4,,,6411.08,-33.7,,10-30
28,000838,财信发展,,,1.3,,,727.52,90.88,,10-30
29,000876,新希望,,,4.98,8.0,,11583.81,6.42,,10-30
30,600257,大湖股份,,,3.26,,,1514.3,45.49,,10-30
31,600770,综艺股份,,,2.26,,,1510.94,-6.81,,10-30
32,600030,中信证券,,,2.14,,,9428.58,-39.9,,10-30
33,600058,五矿发展,,,4.76,,,45327.28,127.17,,10-30
34,600433,冠豪高新,,,2.55,,,1093.67,-22.03,,10-30
35,000631,顺发恒业,,,1.31,,,-28159.35,-935.56,,10-30
36,600547,山东黄金,,,3.3,,,4324.17,31.27,,10-30
37,600898,国美通讯,,,1.41,,,2300.63,10.44,,10-30
38,600171,上海贝岭,,,2.88,,,5201.62,-9.43,,10-30
39,600637,东方明珠,,,4.44,,,8620.86,-43.26,,10-30
40,600654,*ST中安,,,1.93,,,2041.73,0.87,,10-30
41,600811,东方集团,,,4.01,,,10662.91,51.04,,10-30
42,600870,厦华电子,,,2.12,,,814.64,-1.08,,10-30
43,600249,两面针,,,6.7,,,2407.18,,,10-30
44,600661,新南洋,,,2.07,,,848.9,-43.32,,10-30
45,600381,青海春天,,,1.73,,,1302.38,-10.35,,10-30
46,000605,渤海股份,,,1.7,6.02,,827.55,-40.05,,10-30
47,600817,*ST宏盛,,,1.83,,,3037.95,5.1,,10-30
48,600183,生益科技,,,1.98,,,20948.54,111.04,,10-30
49,600329,中新药业,,,4.34,,,6450.86,4.98,,10-30
50,000977,浪潮信息,,,4.09,,,1088.1,-48.05,,10-30
51,600751,天海投资,,,1.03,,,765.04,142.95,,10-30
52,002013,中航机电,,,3.89,,,726.47,,,10-30
53,600822,上海物贸,,,1.22,,,486.35,-143.79,,10-30
54,600483,福能股份,,,3.36,,,1036.95,,,10-30
55,600859,王府井,,,4.01,,,2877.42,72.16,,10-30
56,600225,*ST松江,,,1.99,,,662.88,-39.35,,10-30
57,000036,华联控股,,,3.75,,,571.58,-82.67,,10-30
58,600062,华润双鹤,,,3.46,,,3621.55,-72.27,,10-30
59,600846,同济科技,,,1.64,,,263.87,46.7,,10-30
60,600624,复旦复华,,,1.74,,,1475.53,176.98,,10-30
61,600663,陆家嘴,,,3.15,,,40449.29,-12.57,,10-30
62,600748,上实发展,,,1.93,,,3134.74,-18.82,,10-30
63,600007,中国国贸,,,3.12,,,17172.7,8.05,,10-30
64,600877,*ST嘉陵,,,2.48,,,179.48,-58.55,,10-30
65,600149,*ST坊展,,,1.94,,,1187.59,-37.81,,10-30
66,600894,广日股份,,,1.8,,,18030.06,65.18,,10-30
67,600221,海航控股,,,1.7,,,12770.72,-113.44,,10-30
68,600721,百花村,,,1.62,,,105.98,-94.58,,10-30
69,600759,洲际油气,,,-0.43,,,-43.98,-185.47,,10-30
70,600395,盘江股份,,,3.44,,,6020.94,-2.75,,10-30
71,000688,建新矿业,,,2.84,,,-1193.4,-214.75,,10-30
